,epsilon_progress,nfe
0,0,0
1,18,100
2,87,600
3,101,1100
4,112,1600
5,114,2100
6,121,2600
7,125,3100
8,125,3600
9,131,4100
10,131,4600
11,133,5100
12,138,5600
13,142,6100
14,147,6600
15,154,7100
16,162,7600
17,169,8100
18,169,8600
19,169,9100
20,170,9600
21,173,10100
22,176,10600
23,177,11100
24,179,11600
25,179,12100
26,181,12600
27,181,13100
28,183,13600
29,183,14100
30,184,14600
31,186,15100
32,190,15600
33,192,16100
34,196,16600
35,198,17100
36,201,17600
37,203,18100
38,203,18600
39,203,19100
40,207,19600
41,210,20105
42,214,20645
43,217,21185
44,218,21725
45,219,22265
46,224,22805
47,225,23345
48,228,23885
49,228,24425
50,230,24965
51,231,25505
52,231,26045
53,232,26585
54,232,27125
55,234,27665
56,234,28205
57,234,28745
58,234,29285
59,234,29825
60,234,30365
61,235,30905
62,236,31445
63,238,31985
64,242,32525
65,243,33065
66,246,33605
67,246,34145
68,249,34685
69,249,35225
70,249,35765
71,249,36305
72,249,36845
73,249,37385
74,249,37925
75,249,38465
76,249,39005
77,249,39545
78,249,40085
79,249,40625
80,249,41165
81,249,41705
82,249,42245
83,249,42785
84,249,43325
85,249,43865
86,249,44405
87,249,44945
88,249,45485
89,250,46025
90,250,46565
91,250,47105
92,250,47645
93,250,48185
94,250,48725
95,250,49265
96,250,49805
97,250,50345
98,250,50885
99,250,51425
100,250,51965
101,250,52505
102,250,53045
103,250,53585
104,250,54125
105,250,54665
106,250,55205
107,250,55745
108,250,56285
109,252,56825
110,252,57365
111,253,57905
112,253,58445
113,253,58985
114,254,59525
115,254,60065
116,255,60605
117,255,61145
118,255,61685
119,255,62192
120,256,62696
121,257,63200
122,260,63704
123,260,64208
124,261,64712
125,262,65216
126,263,65720
127,264,66224
128,265,66728
129,265,67232
130,265,67736
131,265,68240
132,266,68744
133,266,69248
134,266,69752
135,266,70004
